platform_id,platform_name,platform_type,is_mobile,is_desktop,is_web,is_active,launch_date,current_version,description
WEB,Website,web,FALSE,TRUE,TRUE,TRUE,2018-01-01,4.2,"Main customer website platform"
APP_ANDROID,Android App,mobile,TRUE,FALSE,FALSE,TRUE,2018-03-15,3.7,"Native Android mobile application"
APP_IOS,iOS App,mobile,TRUE,FALSE,FALSE,TRUE,2018-03-15,3.7,"Native iOS mobile application"
MOBILE_WEB,Mobile Web,web,TRUE,FALSE,TRUE,TRUE,2018-01-01,4.2,"Mobile web interface"
API,API,api,FALSE,FALSE,FALSE,TRUE,2018-02-15,2.5,"External API for partners"
PARTNER_PORTAL,Partner Portal,web,FALSE,TRUE,TRUE,TRUE,2018-06-01,2.1,"Portal for affiliate and business partners"
CSR_PORTAL,CSR Portal,web,FALSE,TRUE,TRUE,TRUE,2018-01-15,5.3,"Customer service representative portal"
KIOSK,Kiosk,kiosk,FALSE,TRUE,FALSE,TRUE,2019-05-10,1.8,"Physical location kiosks"
SMS,SMS Service,messaging,TRUE,FALSE,FALSE,TRUE,2020-01-15,1.5,"SMS messaging service"
EMAIL,Email Notifications,email,FALSE,FALSE,FALSE,TRUE,2018-01-01,3.0,"Email notification service"
CHATBOT,Chat Bot,web,TRUE,TRUE,TRUE,TRUE,2020-07-15,2.2,"Website and app chat assistant"
VOICE,Voice Assistant,voice,TRUE,TRUE,FALSE,TRUE,2021-03-01,1.3,"Voice-activated assistant integration"
TV_APP,Smart TV App,tv,FALSE,FALSE,FALSE,TRUE,2022-01-15,1.0,"Smart TV application"
LEGACY_WEB,Legacy Website,web,FALSE,TRUE,TRUE,FALSE,2016-01-01,2.8,"Legacy website platform (deprecated)"
LEGACY_MOBILE,Legacy Mobile,mobile,TRUE,FALSE,FALSE,FALSE,2016-06-01,1.2,"Legacy mobile platform (deprecated)"